Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate
,Influenza and pneumonia,J09-J18,2020,2020,"Jan., 2020",2020/01,0.0,329484123.0,0.0,Not Applicable,Not Applicable,0.0
,Influenza and pneumonia,J09-J18,2020,2020,"Feb., 2020",2020/02,0.0,329484123.0,0.0,Not Applicable,Not Applicable,0.0
,Influenza and pneumonia,J09-J18,2020,2020,"Mar., 2020",2020/03,3123.0,329484123.0,0.9,Not Applicable,Not Applicable,0.8
,Influenza and pneumonia,J09-J18,2020,2020,"Apr., 2020",2020/04,26854.0,329484123.0,8.2,Not Applicable,Not Applicable,6.5
,Influenza and pneumonia,J09-J18,2020,2020,"May, 2020",2020/05,14911.0,329484123.0,4.5,Not Applicable,Not Applicable,3.6
,Influenza and pneumonia,J09-J18,2020,2020,"Jun., 2020",2020/06,7221.0,329484123.0,2.2,Not Applicable,Not Applicable,1.8
,Influenza and pneumonia,J09-J18,2020,2020,"Jul., 2020",2020/07,13925.0,329484123.0,4.2,Not Applicable,Not Applicable,3.4
,Influenza and pneumonia,J09-J18,2020,2020,"Aug., 2020",2020/08,14250.0,329484123.0,4.3,Not Applicable,Not Applicable,3.5
,Influenza and pneumonia,J09-J18,2020,2020,"Sep., 2020",2020/09,8889.0,329484123.0,2.7,Not Applicable,Not Applicable,2.1
,Influenza and pneumonia,J09-J18,2020,2020,"Oct., 2020",2020/10,11019.0,329484123.0,3.3,Not Applicable,Not Applicable,2.7
,Influenza and pneumonia,J09-J18,2020,2020,"Nov., 2020",2020/11,23593.0,329484123.0,7.2,Not Applicable,Not Applicable,5.7
,Influenza and pneumonia,J09-J18,2020,2020,"Dec., 2020",2020/12,45738.0,329484123.0,13.9,Not Applicable,Not Applicable,11.1
,Influenza and pneumonia,J09-J18,2021,2021,"Jan., 2021",2021/01,53127.0,331893745.0,16.0,Not Applicable,Not Applicable,13.1
,Influenza and pneumonia,J09-J18,2021,2021,"Feb., 2021",2021/02,25302.0,331893745.0,7.6,Not Applicable,Not Applicable,6.2
,Influenza and pneumonia,J09-J18,2021,2021,"Mar., 2021",2021/03,11856.0,331893745.0,3.6,Not Applicable,Not Applicable,2.9
,Influenza and pneumonia,J09-J18,2021,2021,"Apr., 2021",2021/04,9496.0,331893745.0,2.9,Not Applicable,Not Applicable,2.3
,Influenza and pneumonia,J09-J18,2021,2021,"May, 2021",2021/05,7953.0,331893745.0,2.4,Not Applicable,Not Applicable,2.0
,Influenza and pneumonia,J09-J18,2021,2021,"Jun., 2021",2021/06,4234.0,331893745.0,1.3,Not Applicable,Not Applicable,1.0
,Influenza and pneumonia,J09-J18,2021,2021,"Jul., 2021",2021/07,6085.0,331893745.0,1.8,Not Applicable,Not Applicable,1.5
,Influenza and pneumonia,J09-J18,2021,2021,"Aug., 2021",2021/08,28557.0,331893745.0,8.6,Not Applicable,Not Applicable,7.3
,Influenza and pneumonia,J09-J18,2021,2021,"Sep., 2021",2021/09,37861.0,331893745.0,11.4,Not Applicable,Not Applicable,9.6
,Influenza and pneumonia,J09-J18,2021,2021,"Oct., 2021",2021/10,25089.0,331893745.0,7.6,Not Applicable,Not Applicable,6.3
,Influenza and pneumonia,J09-J18,2021,2021,"Nov., 2021",2021/11,18098.0,331893745.0,5.5,Not Applicable,Not Applicable,4.5
,Influenza and pneumonia,J09-J18,2021,2021,"Dec., 2021",2021/12,25309.0,331893745.0,7.6,Not Applicable,Not Applicable,6.3
,Influenza and pneumonia,J09-J18,2022,2022,"Jan., 2022",2022/01,41352.0,333287557.0,12.4,Not Applicable,Not Applicable,9.9
,Influenza and pneumonia,J09-J18,2022,2022,"Feb., 2022",2022/02,24777.0,333287557.0,7.4,Not Applicable,Not Applicable,5.8
,Influenza and pneumonia,J09-J18,2022,2022,"Mar., 2022",2022/03,6774.0,333287557.0,2.0,Not Applicable,Not Applicable,1.6
,Influenza and pneumonia,J09-J18,2022,2022,"Apr., 2022",2022/04,2056.0,333287557.0,0.6,Not Applicable,Not Applicable,0.5
,Influenza and pneumonia,J09-J18,2022,2022,"May, 2022",2022/05,2319.0,333287557.0,0.7,Not Applicable,Not Applicable,0.5
,Influenza and pneumonia,J09-J18,2022,2022,"Jun., 2022",2022/06,2993.0,333287557.0,0.9,Not Applicable,Not Applicable,0.7
,Influenza and pneumonia,J09-J18,2022,2022,"Jul., 2022",2022/07,4093.0,333287557.0,1.2,Not Applicable,Not Applicable,1.0
,Influenza and pneumonia,J09-J18,2022,2022,"Aug., 2022",2022/08,4519.0,333287557.0,1.4,Not Applicable,Not Applicable,1.1
,Influenza and pneumonia,J09-J18,2022,2022,"Sep., 2022",2022/09,3418.0,333287557.0,1.0,Not Applicable,Not Applicable,0.8
,Influenza and pneumonia,J09-J18,2022,2022,"Oct., 2022",2022/10,2917.0,333287557.0,0.9,Not Applicable,Not Applicable,0.7
,Influenza and pneumonia,J09-J18,2022,2022,"Nov., 2022",2022/11,3029.0,333287557.0,0.9,Not Applicable,Not Applicable,0.7
,Influenza and pneumonia,J09-J18,2022,2022,"Dec., 2022",2022/12,4637.0,333287557.0,1.4,Not Applicable,Not Applicable,1.1
,Influenza and pneumonia,J09-J18,2023,2023,"Jan., 2023",2023/01,5151.0,334914895.0,1.5,Not Applicable,Not Applicable,1.2
,Influenza and pneumonia,J09-J18,2023,2023,"Feb., 2023",2023/02,3008.0,334914895.0,0.9,Not Applicable,Not Applicable,0.7
,Influenza and pneumonia,J09-J18,2023,2023,"Mar., 2023",2023/03,2462.0,334914895.0,0.7,Not Applicable,Not Applicable,0.6
,Influenza and pneumonia,J09-J18,2023,2023,"Apr., 2023",2023/04,1690.0,334914895.0,0.5,Not Applicable,Not Applicable,0.4
,Influenza and pneumonia,J09-J18,2023,2023,"May, 2023",2023/05,1180.0,334914895.0,0.4,Not Applicable,Not Applicable,0.3
,Influenza and pneumonia,J09-J18,2023,2023,"Jun., 2023",2023/06,829.0,334914895.0,0.2,Not Applicable,Not Applicable,0.2
,Influenza and pneumonia,J09-J18,2023,2023,"Jul., 2023",2023/07,773.0,334914895.0,0.2,Not Applicable,Not Applicable,0.2
,Influenza and pneumonia,J09-J18,2023,2023,"Aug., 2023",2023/08,1411.0,334914895.0,0.4,Not Applicable,Not Applicable,0.3
,Influenza and pneumonia,J09-J18,2023,2023,"Sep., 2023",2023/09,2151.0,334914895.0,0.6,Not Applicable,Not Applicable,0.5
,Influenza and pneumonia,J09-J18,2023,2023,"Oct., 2023",2023/10,2010.0,334914895.0,0.6,Not Applicable,Not Applicable,0.5
,Influenza and pneumonia,J09-J18,2023,2023,"Nov., 2023",2023/11,2127.0,334914895.0,0.6,Not Applicable,Not Applicable,0.5
,Influenza and pneumonia,J09-J18,2023,2023,"Dec., 2023",2023/12,2906.0,334914895.0,0.9,Not Applicable,Not Applicable,0.7
,Influenza and pneumonia,J09-J18,2024,2024,"Jan., 2024",2024/01,3633.0,340110988.0,1.1,Not Applicable,Not Applicable,0.8
,Influenza and pneumonia,J09-J18,2024,2024,"Feb., 2024",2024/02,2108.0,340110988.0,0.6,Not Applicable,Not Applicable,0.5
,Influenza and pneumonia,J09-J18,2024,2024,"Mar., 2024",2024/03,1447.0,340110988.0,0.4,Not Applicable,Not Applicable,0.3
,Influenza and pneumonia,J09-J18,2024,2024,"Apr., 2024",2024/04,755.0,340110988.0,0.2,Not Applicable,Not Applicable,0.2
,Influenza and pneumonia,J09-J18,2024,2024,"May, 2024",2024/05,552.0,340110988.0,0.2,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2024,2024,"Jun., 2024",2024/06,639.0,340110988.0,0.2,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2024,2024,"Jul., 2024",2024/07,1205.0,340110988.0,0.4,Not Applicable,Not Applicable,0.3
,Influenza and pneumonia,J09-J18,2024,2024,"Aug., 2024",2024/08,1870.0,340110988.0,0.5,Not Applicable,Not Applicable,0.4
,Influenza and pneumonia,J09-J18,2024,2024,"Sep., 2024",2024/09,1813.0,340110988.0,0.5,Not Applicable,Not Applicable,0.4
,Influenza and pneumonia,J09-J18,2024,2024,"Oct., 2024",2024/10,1226.0,340110988.0,0.4,Not Applicable,Not Applicable,0.3
,Influenza and pneumonia,J09-J18,2024,2024,"Nov., 2024",2024/11,799.0,340110988.0,0.2,Not Applicable,Not Applicable,0.2
,Influenza and pneumonia,J09-J18,2024,2024,"Dec., 2024",2024/12,1000.0,340110988.0,0.3,Not Applicable,Not Applicable,0.2
,Influenza and pneumonia,J09-J18,2025,2025,"Jan., 2025",2025/01,1580.0,340110988.0,0.5,Not Applicable,Not Applicable,0.4
,Influenza and pneumonia,J09-J18,2025,2025,"Feb., 2025",2025/02,1113.0,340110988.0,0.3,Not Applicable,Not Applicable,0.2
,Influenza and pneumonia,J09-J18,2025,2025,"Mar., 2025",2025/03,847.0,340110988.0,0.2,Not Applicable,Not Applicable,0.2
,Influenza and pneumonia,J09-J18,2025,2025,"Apr., 2025",2025/04,597.0,340110988.0,0.2,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2025,2025,"May., 2025",2025/05,374.0,340110988.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2025,2025,"Jun., 2025",2025/06,296.0,340110988.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2025,2025,"Jul., 2025",2025/07,320.0,340110988.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2025,2025,"Aug., 2025",2025/08,510.0,340110988.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2025,2025,"Sep., 2025",2025/09,718.0,340110988.0,0.2,Not Applicable,Not Applicable,0.2
,Influenza and pneumonia,J09-J18,2025,2025,"Oct., 2025",2025/10,512.0,340110988.0,0.2,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2025,2025,"Nov., 2025",2025/11,302.0,340110988.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2025,2025,"Dec., 2025",2025/12,447.0,340110988.0,0.1,Not Applicable,Not Applicable,0.1
