Disease,Year,Observed AAMR,Predicted AAMR,Excess AAMR,Observed Death,Predicted Death,Excess Death
Pneumonia,2020,75.70,34.40,41.30,311624.00,143130.30,168493.70
Pneumonia,2021,93.60,33.10,60.50,374629.00,141365.30,233263.70
Pneumonia,2022,55.60,32.10,23.50,232025.00,139622.00,92403.00
Pneumonia,2023,38.40,30.90,7.50,161224.00,137900.30,23323.70
Pneumonia,Total,65.83,32.62,33.20,1079502.00,562017.90,517484.10
Pneumonia/ARDS,2020,7.30,1.20,6.10,30386.00,3874.40,26511.60
Pneumonia/ARDS,2021,9.70,1.20,8.50,39251.00,3933.20,35317.80
Pneumonia/ARDS,2022,3.00,1.20,1.80,13155.00,3992.00,9163.00
Pneumonia/ARDS,2023,1.30,1.20,0.10,5290.00,4052.00,1238.00
Pneumonia/ARDS,Total,5.33,1.20,4.12,88082.00,15851.60,72230.40
Pneumonia/Sepsis,2020,16.30,11.20,5.10,67111.00,46463.00,20648.00
Pneumonia/Sepsis,2021,19.00,10.90,8.10,76553.00,46299.00,30254.00
Pneumonia/Sepsis,2022,13.80,10.40,3.40,59053.00,45913.20,13139.80
Pneumonia/Sepsis,2023,11.60,10.20,1.40,50029.00,45305.30,4723.70
Pneumonia/Sepsis,Total,15.17,10.68,4.50,252746.00,183980.50,68765.50
