Metric,ARDS (ARDS + Pneumonia),Pneumonia,Sepsis+ Pneumonia
"Total deaths, n","132,691","2,922,893","761,815"
"Male deaths, n (%)","75,479 (56.9%)","1,535,855 (52.5%)","407,404 (53.5%)"
"Female deaths, n (%)","57,212 (43.1%)","1,387,038 (47.5%)","354,411 (46.5%)"
Total population (standardizable ages),"5,204,712,154","5,204,712,154","5,204,712,154"
"Crude mortality rate (standardizable ages), /100,000",2.5,56.2,14.6
"AAMR (all ages), /100,000",2.1,47.1,12.2
"Male AAMR (all ages), /100,000",2.6,58.2,15.0
"Female AAMR (all ages), /100,000",1.7,38.8,10.1
"Age 20–44 AAMR, /100,000",0.4,3.8,1.0
"Age 45–64 AAMR, /100,000",3.0,33.9,10.7
"Age <20 AAMR, /100,000",0.1,1.3,0.2
"Age ≥65 AAMR, /100,000",9.8,292.8,72.8
"American Indian or Alaska Native AAMR, /100,000",3.8,49.0,13.3
"Asian AAMR, /100,000",1.8,36.2,10.1
"Black or African American AAMR, /100,000",2.8,55.0,17.5
"More than one race AAMR, /100,000",1.4,22.1,5.9
"Native Hawaiian or Other Pacific Islander AAMR, /100,000",7.7,55.3,16.0
"White AAMR, /100,000",2.0,46.6,11.7
"Place of death: Medical Facility, n (%)","125,958 (94.9%)","2,134,774 (73.0%)","673,442 (88.4%)"
"Place of death: Non-medical facility, n (%)","6,675 (5.0%)","788,151 (27.0%)","88,350 (11.6%)"
